"efo_id","disease_full_name","number_of_associations"
"EFO_1000984","inflammatory breast carcinoma",174
"MONDO_0004093","esophageal basaloid carcinoma",1
"EFO_0006352","laryngeal squamous cell carcinoma",796
"EFO_1000514","Salivary Gland Adenosquamous Carcinoma",0
"EFO_1001965","pharyngeal squamous cell carcinoma",428
"EFO_1001952","endometrial adenosquamous carcinoma",26
"MONDO_0056815","liver adenosquamous carcinoma",1
"Orphanet_293822","MITF-related melanoma and renal cell carcinoma predisposition syndrome",3
"MONDO_0045070","digestive system melanoma",5
"Orphanet_841","Sebocystomatosis",28
"Orphanet_2273","Ichthyosis follicularis - alopecia - photophobia",102
"MONDO_0021208","endocrine alopecia",432
"Orphanet_169","Ringed hair disease",69
"Orphanet_79365","Hypertrichosis",144
"Orphanet_2222","Hypertrichosis lanuginosa congenita",2
"Orphanet_565","Menkes disease",228
"Orphanet_50944","Schöpf-Schulz-Passarge syndrome",28
"Orphanet_2315","Johanson-Blizzard syndrome",19
"Orphanet_289","Ellis Van Creveld syndrome",34
"Orphanet_307766","Curly hair-acral keratoderma-caries syndrome",0
"Orphanet_2731","Taurodontia - absent teeth - sparse hair",3
"Orphanet_98609","EEC syndrome and related syndrome",236
"Orphanet_2363","Lacrimoauriculodentodigital syndrome",10
"Orphanet_3354","Tricho-oculo-dermo-vertebral syndrome",26
"Orphanet_69082","Odonto-tricho-ungual-digito-palmar syndrome",53
"Orphanet_248","Autosomal recessive hypohidrotic ectodermal dysplasia",38
"Orphanet_2710","Oculodentodigital dysplasia",56
"EFO_1000722","Kimura disease",27
"Orphanet_2875","Phakomatosis pigmentovascularis",4
"Orphanet_167","Chédiak-Higashi syndrome",322
"Orphanet_352731","Oculocutaneous albinism type 1",41
"Orphanet_352734","Minimal pigment oculocutaneous albinism type 1",1
"Orphanet_352745","Oculocutaneous albinism type 7",5
"Orphanet_79085","Familial partial lipodystrophy due to AKT2 mutations",0
"MONDO_0013572","Keppen-Lubinsky syndrome",1
"Orphanet_228429","Generalized congenital lipodystrophy with myopathy",117
"EFO_0007237","dipetalonemiasis",0
"MONDO_0019546","other acquired skin disease",347
"EFO_1000767","skin sarcoidosis",18
"MONDO_0007902","lichen planus, familial",118
"Orphanet_79504","Ichthyosis hystrix gravior",10
"Orphanet_263534","Acral peeling skin syndrome",79
"MONDO_0054852","peeling skin syndrome 6",1
"Orphanet_98907","Dorfman-Chanarin disease",30
"Orphanet_2267","Ichthyosis-cheek-eyebrow syndrome",24
"Orphanet_35173","X-linked dominant chondrodysplasia punctata",94
"Orphanet_93360","Spondyloepimetaphyseal dysplasia with multiple dislocations",3
"MONDO_0014757","macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome",1
"Orphanet_86923","Hereditary palmoplantar keratoderma, Gamborg-Nielsen type",132
"Orphanet_86918","Diffuse palmoplantar keratoderma-acrocyanosis syndrome",0
"Orphanet_307837","Focal palmoplantar keratoderma",211
"Orphanet_90280","Chilblain lupus",58
"Orphanet_35125","Epidermal nevus syndrome",9
"Orphanet_158684","Epidermolysis bullosa simplex with pyloric atresia",42
"Orphanet_257","Epidermolysis bullosa simplex with muscular dystrophy",6
"Orphanet_2908","Kindler syndrome",18
"Orphanet_79408","Severe generalized recessive dystrophic epidermolysis bullosa",9
"Orphanet_158673","Acral dystrophic epidermolysis bullosa",0
"EFO_0000404","diffuse scleroderma",110
