,Risk Factors,Score
0,Platelet storage pool disease,0.8528443574905396
1,abnormality of the urinary system physiology,0.8289505243301392
2,Bronchiolitis,0.7813149094581604
3,endocrine system disease,0.7746160626411438
4,Hernia,0.7663829326629639
5,Phenotypic abnormality,0.7641105055809021
6,ureterolithiasis,0.7579290270805359
7,urinary system disease,0.7323008179664612
8,Interauricular communication,0.7215279340744019
9,Neurogenic bladder,0.7210665345191956
10,dysmenorrhea,0.7208285927772522
11,Abnormality of the cardiovascular system,0.7187424898147583
12,Leydig cell hypoplasia,0.6963074207305908
13,Hereditary spastic paraplegia,0.6724655032157898
14,West syndrome,0.6698538064956665
15,Sickle cell anemia,0.6679461002349854
16,pancreas disease,0.667347252368927
17,Severe combined immunodeficiency,0.6642482280731201
18,pseudohypoaldosteronism,0.6631126999855042
19,peptic ulcer disease,0.6630229949951172
20,epithelial neoplasm,0.6589384078979492
21,Genetic chronic primary adrenal insufficiency,0.6568591594696045
22,Dent disease,0.6564770936965942
23,Abnormality of the intestine,0.6513397097587585
24,Rolandic epilepsy,0.6459236145019531
25,Recurrent infection of the gastrointestinal tract,0.6447222232818604
26,neck pain,0.6434110403060913
27,Thrombophlebitis,0.6335554122924805
28,leiomyoma,0.6321815848350525
29,tacrolimus measurement,0.6290737986564636
30,abnormality of blood and blood-forming tissues,0.6221029162406921
31,Epilepsy syndrome,0.6178211569786072
32,Hermansky-Pudlak syndrome,0.6173222661018372
33,Urinary retention,0.6149943470954895
34,Fragile X syndrome,0.6065914034843445
35,Self-injurious behavior,0.6056738495826721
36,Familial isolated dilated cardiomyopathy,0.6046998500823975
37,Keratoconus,0.6044554710388184
38,Juvenile absence epilepsy,0.596172571182251
39,Bartter syndrome,0.5905188322067261
40,Lymphangioleiomyomatosis,0.5897484421730042
41,anemia (disease),0.586043655872345
42,Genetic hypertension,0.5674578547477722
43,Landau-Kleffner syndrome,0.5656946301460266
44,ticagrelor measurement,0.5648525953292847
45,phenotype,0.5568560361862183
46,tooth disease,0.5441341400146484
47,Congenital dyserythropoietic anemia type I,0.5441247820854187
48,Pruritus,0.5440443754196167
49,T-B+ severe combined immunodeficiency due to JAK3 deficiency,0.5430582761764526
50,Alopecia universalis,0.5392931699752808
51,Disorder of lipid metabolism,0.5347754955291748
52,Congenital adrenal hyperplasia,0.5334364175796509
53,Patent ductus arteriosus,0.5324969291687012
54,Gitelman syndrome,0.5318028330802917
55,dental phobia,0.5268785357475281
56,Ovarian hyperstimulation syndrome,0.5248174667358398
57,Hyper-IgM syndrome without susceptibility to opportunistic infections,0.5247498750686646
58,hyperinsulinism (disease),0.522846519947052
59,gastrointestinal disease,0.5222695469856262
60,Agammaglobulinemia,0.5199717283248901
61,Glanzmann thrombasthenia,0.5187373757362366
62,Karyomegalic interstitial nephritis,0.5166563987731934
63,streptococcal infection,0.514085590839386
64,Glycogen storage disease,0.5131493210792542
65,behavioral abnormality,0.5074365735054016
66,Lysosomal acid lipase deficiency,0.5053464770317078
67,measurement,0.49452468752861023
68,dehydroepiandrosterone sulphate measurement,0.48903509974479675
69,Familial partial lipodystrophy,0.48531943559646606
70,Hereditary central diabetes insipidus,0.4852846562862396
71,diabetes insipidus,0.48266783356666565
72,Cystic fibrosis,0.48037096858024597
73,Familial progressive cardiac conduction defect,0.47786110639572144
74,tonsillitis,0.4762989580631256
75,Generalized epilepsy with febrile seizures-plus,0.47396740317344666
76,Coenzyme Q10 deficiency,0.47342032194137573
77,Lethal congenital contracture syndrome type 3,0.46996814012527466
78,idiopathic nephrotic syndrome,0.4690221846103668
79,MODY,0.468736469745636
80,Microalbuminuria,0.4677881896495819
81,Tendinopathy,0.4647507965564728
82,Qualitative or quantitative defects of dystrophin,0.4639023244380951
83,shoulder pain,0.4632914066314697
84,Familial Mediterranean fever,0.4605829119682312
85,hepatobiliary disease,0.4598480463027954
86,Gaucher disease,0.459168016910553
87,heart block,0.4584009051322937
88,Genetic cardiac anomaly,0.4581358730792999
89,Recurrent infection due to specific granule deficiency,0.4575510323047638
90,Lymphoproliferative syndrome,0.45670047402381897
91,Autoimmune lymphoproliferative syndrome,0.45663419365882874
92,Porphyria cutanea tarda,0.4553515315055847
93,Primary glomerular disease,0.4545656740665436
94,Autosomal dominant progressive nephropathy with hypertension,0.45424625277519226
95,Arthrogryposis multiplex congenita,0.4510778486728668
96,rosacea,0.450761079788208
97,ischemic disease,0.44846850633621216
98,febrile seizures,0.44555723667144775
99,bronchial disease,0.4414944052696228
100,Immunodeficiency due to an early component of complement deficiency,0.4411848485469818
101,pneumococcal infection,0.44113782048225403
102,digestive system cancer,0.4410301446914673
103,abnormality of the skin,0.4369334876537323
104,Immunodeficiency due to a late component of complements deficiency,0.4364556074142456
105,dry eye syndrome,0.43622562289237976
106,Abnormality of cardiovascular system morphology,0.43325740098953247
107,Hyperlipoproteinemia type 1,0.4328094720840454
108,cholangitis,0.4327583312988281
109,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,0.43164923787117004
110,Familial dilated cardiomyopathy,0.42810672521591187
111,Hyper-IgE syndrome,0.4268138110637665
112,ovarian cancer,0.4266524910926819
113,Glycogen storage disease due to glycogen branching enzyme deficiency,0.42620205879211426
114,precancerous condition,0.42354604601860046
115,T-B+ severe combined immunodeficiency,0.4231957793235779
116,Autosomal dominant medullary cystic kidney disease with or without hyperuricemia,0.4209998548030853
117,gastrointestinal obstruction,0.42024755477905273
118,Optic neuropathy,0.42021095752716064
119,cell proliferation disorder,0.41824400424957275
120,Infantile Bartter syndrome with sensorineural deafness,0.41716238856315613
121,rhinitis,0.4167550504207611
122,uterine disease,0.4132583737373352
123,Peripheral demyelination,0.4132561683654785
124,Chronic mucocutaneous candidosis,0.41178545355796814
125,Mastocytosis,0.40801772475242615
126,allergic respiratory disease,0.4078267812728882
127,prostate disease,0.4075745940208435
128,X-linked mendelian susceptibility to mycobacterial diseases,0.4070846736431122
129,Pseudohypoaldosteronism type 1,0.40413984656333923
130,Immunodeficiency due to a complement cascade protein anomaly,0.4033607244491577
131,back pain,0.40242859721183777
132,X-linked non-syndromic intellectual disability,0.3991621434688568
133,female reproductive organ cancer,0.3990280032157898
134,Severe congenital neutropenia,0.3985663652420044
135,Mitochondrial oxidative phosphorylation disorder,0.3984554708003998
136,Fanconi anemia,0.3963700234889984
137,Isolated agammaglobulinemia,0.3949747681617737
138,fecal incontinence,0.39482927322387695
139,Alopecia totalis,0.39376357197761536
140,Becker muscular dystrophy,0.39278244972229004
141,Chronic granulomatous disease,0.3925829827785492
142,Peptic ulcer,0.39189425110816956
143,Congenital pulmonary alveolar proteinosis,0.3909037709236145
144,Proximal tubulopathy - diabetes mellitus - cerebellar ataxia,0.39031869173049927
145,Benign familial infantile epilepsy,0.3884822130203247
146,Abnormality of lipid metabolism,0.3883223831653595
147,Leigh syndrome,0.38814911246299744
148,female reproductive system disease,0.38796937465667725
149,Nausea and vomiting,0.385276198387146
150,dental pulp disease,0.3852173686027527
151,obstructive lung disease,0.38516923785209656
152,genetic endocrine growth disease,0.3846602141857147
153,mucous membrane pemphigoid,0.38275229930877686
154,inflammatory skin disease,0.3825482130050659
155,diabetic neuropathy,0.3817490339279175
156,Primary membranoproliferative glomerulonephritis,0.3816644251346588
157,blood platelet disease,0.37944215536117554
158,Oxidative Stress,0.3788580298423767
159,Isolated ectopia lentis,0.37883806228637695
160,Rippling muscle disease,0.37878790497779846
161,digestive system neoplasm,0.37871262431144714
162,arterial disorder,0.3765198290348053
163,steatosis,0.3748229146003723
164,Huntington disease,0.3744392693042755
165,Polycystic Kidney Disease,0.3741254508495331
166,central nervous system disease,0.3740215301513672
167,monosomy,0.3712824583053589
168,interstitial nephritis,0.37051260471343994
169,Common variable immunodeficiency,0.36845862865448
170,Primary immunodeficiency,0.3676483631134033
171,nutritional or metabolic disease,0.36514049768447876
172,colonic disease,0.36449486017227173
173,Autosomal trisomy,0.364271342754364
174,Mastodynia,0.3640572428703308
175,prostate neoplasm,0.36300814151763916
176,subarachnoid hemorrhage,0.36272770166397095
177,Renal glucosuria,0.36187851428985596
178,abortion,0.36093032360076904
179,hypercalcemia disease,0.3592311143875122
180,non-functioning endocrine neoplasm,0.35883039236068726
181,Sciatica,0.3580015301704407
182,thoracic cancer,0.3568418622016907
183,sella turcica neoplasm,0.35637855529785156
184,endometrial disease,0.3552464544773102
185,pulpitis,0.3549872040748596
186,bone cancer,0.35498565435409546
187,frozen shoulder,0.35293474793434143
188,Respiratory insufficiency due to muscle weakness,0.3517923057079315
189,Abdominal symptom,0.35077348351478577
190,female infertility,0.3503950238227844
191,myopia (disease),0.3500247597694397
192,nephritis,0.34890398383140564
193,Malignant epithelial tumor of ovary,0.3480736017227173
194,pituitary tumor,0.34753572940826416
195,X-linked lymphoproliferative disease,0.34744933247566223
196,stomach disease,0.3467186391353607
197,Congenital muscular dystrophy with integrin alpha-7 deficiency,0.34642016887664795
198,ovarian disease,0.34592384099960327
199,paraplegia,0.344801664352417
200,Early infantile epileptic encephalopathy,0.3447469472885132
201,disease of pilosebaceous unit,0.34371262788772583
202,congenital diarrhea,0.3424222767353058
203,Cerebral ischemia,0.34051966667175293
204,gastrointestinal hemorrhage,0.33923864364624023
205,hematopoietic and lymphoid cell neoplasm,0.33742013573646545
206,Hepatoerythropoietic porphyria,0.33625900745391846
207,Mitochondrial disease,0.331150084733963
208,Hereditary sensory and autonomic neuropathy,0.3297833800315857
209,Familial idiopathic steroid-resistant nephrotic syndrome,0.3297508955001831
210,mucositis,0.3294241726398468
211,glomerulonephritis (disease),0.32798922061920166
212,nutritional deficiency disease,0.32777222990989685
213,common cold,0.32717740535736084
214,hemangioma,0.3229074478149414
215,Griscelli disease,0.3208109140396118
216,Rare insulin-resistance syndrome,0.3199056088924408
217,biological process,0.3196776509284973
218,rotator cuff tear,0.31780290603637695
219,demyelinating disease,0.3161904811859131
220,T-cell non-Hodgkin lymphoma,0.31509873270988464
221,metastatic colorectal cancer,0.3142620921134949
222,diarrheal disease,0.31302639842033386
223,Ascites,0.31282955408096313
224,hypersensitivity reaction disease,0.3120519518852234
225,female reproductive system neoplasm,0.3113206624984741
226,"genetic, familial or congenital disease",0.3103703558444977
227,Dent disease type 1,0.30930525064468384
228,Congenital contractural arachnodactyly,0.3091265559196472
229,systemic inflammatory response syndrome,0.30883902311325073
230,type IV hypersensitivity disease,0.3082731068134308
231,Rare genetic vascular disease,0.30814796686172485
232,Galloway-Mowat syndrome,0.3071223795413971
233,Meningioma,0.30552956461906433
234,Autosomal agammaglobulinemia,0.30534452199935913
235,Left ventricular noncompaction,0.30532845854759216
236,Retinal dystrophy,0.3043184280395508
237,urogenital neoplasm,0.3029925525188446
238,Childhood-onset epilepsy syndrome,0.30289405584335327
239,Berardinelli-Seip congenital lipodystrophy,0.30263036489486694
240,Autosomal recessive non-syndromic intellectual disability,0.3026133179664612
241,Renal Colic,0.3024032711982727
242,breast disease,0.30231818556785583
243,Atypical hemolytic-uremic syndrome,0.3009542226791382
244,Hereditary chronic pancreatitis,0.3006850481033325
245,calcinosis,0.3000510334968567
246,heart conduction disease,0.29892101883888245
247,joint disease,0.2988298833370209
248,Multiple pterygium syndrome,0.29865723848342896
249,myocardial disorder,0.2981378436088562
250,Disorder of carbohydrate metabolism,0.29660430550575256
251,Classic Bartter syndrome,0.2954482436180115
252,refractive error,0.29532986879348755
253,Benign familial neonatal-infantile seizures,0.29497796297073364
254,polyposis,0.2946680784225464
255,Chromosomal anomaly,0.2940669655799866
256,neuroendocrine neoplasm,0.2935096025466919
257,Congenital isolated hyperinsulinism,0.29250916838645935
258,gastroenteropancreatic neuroendocrine neoplasm,0.29242807626724243
259,B cell deficiency,0.2917959988117218
260,epilepsia partialis continua,0.29042771458625793
261,Familial isolated arrhythmogenic right ventricular dysplasia,0.28909891843795776
262,Constitutional neutropenia,0.28902170062065125
263,Nephronophthisis,0.2872898578643799
264,ovarian epithelial tumor,0.2871202826499939
265,Non-immunoglobulin-mediated membranoproliferative glomerulonephritis,0.28684094548225403
266,ocular hypertension,0.2857946753501892
267,hematopoietic and lymphoid system neoplasm,0.2842920422554016
268,Familial hyperaldosteronism type III,0.2838314175605774
269,smooth muscle tumor,0.2832062840461731
270,Anti-neutrophil cytoplasmic antibody-associated vasculitis,0.2828935980796814
271,Shwachman-Diamond syndrome,0.2826682925224304
272,body weight loss,0.2822761535644531
273,Familial adenomatous polyposis,0.2810802459716797
274,Catecholaminergic polymorphic ventricular tachycardia,0.281014084815979
275,keratosis,0.27880939841270447
276,Androgen insensitivity syndrome,0.2782409191131592
277,urticaria,0.27738505601882935
278,Alternating hemiplegia of childhood,0.27734270691871643
279,mitral valve disease,0.2768416404724121
280,Lysosomal disease,0.27668559551239014
281,Familial hyperinsulinism,0.2765422463417053
282,complex regional pain syndrome,0.2757262587547302
283,"Congenital nephrotic syndrome, Finnish type",0.27546077966690063
284,Familial atrial fibrillation,0.27539682388305664
285,Basal epidermolysis bullosa simplex,0.2753455638885498
286,Normosmic congenital hypogonadotropic hypogonadism,0.27427923679351807
287,Myotonic dystrophy,0.27399319410324097
288,Osteogenesis imperfecta,0.27346259355545044
289,Distal renal tubular acidosis,0.2729952931404114
290,complication,0.271884948015213
291,intestinal neoplasm,0.27159228920936584
292,Leukocyte adhesion deficiency,0.27158862352371216
293,breast carcinoma in situ,0.27139371633529663
294,Genetic thrombotic microangiopathy,0.26786625385284424
295,Dravet syndrome,0.26674211025238037
296,Severe combined immunodeficiency due to complete RAG1/2 deficiency,0.2664230763912201
297,tumor of uterus,0.26521655917167664
298,Inborn errors of metabolism,0.26483890414237976
299,familial nephrotic syndrome,0.2634384036064148
300,overnutrition,0.26217350363731384
301,growth hormone-producing pituitary gland neoplasm,0.26167452335357666
302,Southeast Asian ovalocytosis,0.26145732402801514
303,acute myocardial infarction,0.26143214106559753
304,head and neck carcinoma,0.2613353729248047
305,Childhood absence epilepsy,0.2604947090148926
306,non-severe combined immunodeficiency,0.2600219249725342
307,GAPO syndrome,0.25935280323028564
308,Familial episodic pain syndrome,0.2584197521209717
309,nicotine dependence,0.2583620846271515
310,Rare hemorrhagic disorder due to a platelet receptor defect,0.2573496699333191
311,blood coagulation disease,0.25672996044158936
312,lipodystrophy,0.2561560869216919
313,Genetic obesity,0.2547038197517395
314,Abnormality of the vasculature,0.2537672817707062
315,benign muscle neoplasm,0.2535960078239441
316,sprain,0.2527613341808319
317,Parana hard-skin syndrome,0.2524065375328064
318,Soft Tissue Neoplasm,0.2519918978214264
319,ulcer disease,0.25160759687423706
320,diverticulitis,0.2514249086380005
321,Helicobacter pylori infectious disease,0.2511095404624939
322,Generalized peeling skin syndrome,0.25103041529655457
323,autosomal dominant disease,0.2507959306240082
324,thrombotic disease,0.2493416666984558
325,reproductive system or breast disease,0.24930515885353088
326,mesenchymal cell neoplasm,0.24853000044822693
327,bitter beverage consumption measurement,0.24809032678604126
328,Postsynaptic congenital myasthenic syndromes,0.24798184633255005
329,ichthyosis (disease),0.24722495675086975
330,lipid measurement,0.24590033292770386
331,hemophagocytic syndrome,0.24541151523590088
332,pregnancy disorder,0.24533531069755554
333,musculoskeletal system disease,0.24503225088119507
334,Digestive System Carcinoma,0.24436941742897034
335,heart valve disease,0.24427157640457153
336,intrahepatic cholestasis,0.2442103922367096
337,Venous thrombosis,0.24331238865852356
338,nervous system injury,0.24260520935058594
339,methamphetamine dependence,0.24232494831085205
340,Autosomal dominant severe congenital neutropenia,0.2420896589756012
341,reproductive system neoplasm,0.24202397465705872
342,adrenal gland hyperfunction,0.24198278784751892
343,interstitial lung disease specific to childhood,0.2414776086807251
344,monogenic disease,0.241064190864563
345,Hypohidrotic ectodermal dysplasia,0.24105128645896912
346,Lymphedema,0.2409227192401886
347,Inherited cancer-predisposing syndrome,0.24003386497497559
348,Dopa-responsive dystonia,0.23941004276275635
349,lung neoplasm,0.23925232887268066
350,endocrine neoplasm,0.23901259899139404
351,bone inflammation disease,0.23847249150276184
352,Distal renal tubular acidosis with anemia,0.23833733797073364
353,fatty liver disease,0.23775243759155273
354,Central Nervous System Neoplasm,0.2371641993522644
355,hereditary nonpolyposis colon cancer,0.23710286617279053
356,Colobomatous microphthalmia,0.23694461584091187
357,Bardet-Biedl syndrome,0.23670223355293274
358,Combined immunodeficiency with skin granulomas,0.23638013005256653
359,aortic valve disease,0.2356986105442047
360,Hereditary late-onset Parkinson disease,0.2355349361896515
361,Emery-Dreifuss muscular dystrophy,0.23538342118263245
362,glomerular disease,0.235092431306839
363,scoliosis,0.2349158525466919
364,gastric ulcer,0.2346193790435791
365,erectile dysfunction,0.23442566394805908
366,thoracic disease,0.23397424817085266
367,tinnitus,0.23378896713256836
368,vascular cancer,0.23333993554115295
369,Familial hypoaldosteronism,0.23308604955673218
370,Atrial stand still,0.23260366916656494
371,Inguinal hernia,0.2325979471206665
372,Malignant hyperthermia,0.23242998123168945
373,spondylitis,0.23233211040496826
374,hip pain,0.232264906167984
375,Hereditary angioedema,0.2322063446044922
376,LAMB2-related infantile-onset nephrotic syndrome,0.23211804032325745
377,infectious mononucleosis,0.23202821612358093
378,orthostatic hypotension,0.23146620392799377
379,pregnancy or perinatal disease,0.23144209384918213
380,lipid or lipoprotein measurement,0.23084279894828796
381,sexually transmitted disease,0.2306765615940094
382,arteriosclerosis,0.23066335916519165
383,Encephalopathy due to GLUT1 deficiency,0.230625182390213
384,major depressive episode,0.23058855533599854
385,T-B- severe combined immunodeficiency,0.23033055663108826
386,Autosomal dominant macrothrombocytopenia,0.2302672564983368
387,head and neck neoplasia,0.2302241325378418
388,gonadal disease,0.23008230328559875
389,constipation disorder,0.22917649149894714
390,acute coronary syndrome,0.22916951775550842
391,aortic disease,0.22890672087669373
392,Combined T and B cell immunodeficiency,0.22808855772018433
393,reproductive system cancer,0.2280837893486023
394,Hallux valgus,0.22803255915641785
395,habitual abortion,0.22789612412452698
396,increased inflammatory response,0.2276555895805359
397,peripheral vascular disease,0.22759881615638733
398,lip and oral cavity carcinoma,0.22752749919891357
399,generalised epilepsy,0.22718238830566406
400,Autosomal dominant non-syndromic intellectual disability,0.22584488987922668
401,generalized anxiety disorder,0.22553163766860962
402,Autosomal recessive limb-girdle muscular dystrophy type 2B,0.2252427637577057
403,Autosomal dominant limb-girdle muscular dystrophy type 1B,0.22510838508605957
404,Hutchinson-Gilford progeria syndrome,0.22487366199493408
405,amino acid measurement,0.2246009111404419
406,graft versus host disease,0.2232009768486023
407,squamous cell neoplasm,0.2230590581893921
408,arterial occlusive disease,0.22289466857910156
409,3-methylglutaconic aciduria,0.2227945625782013
410,periodontal disease,0.2223958671092987
411,Cystic Kidney Disease,0.2220849096775055
412,LCAT deficiency,0.22152471542358398
413,Action myoclonus - renal failure syndrome,0.22132247686386108
414,primary immunodeficiency disease,0.22102788090705872
415,necrotizing enterocolitis,0.22052738070487976
416,hepatitis D virus infection,0.22047099471092224
417,intestinal obstruction,0.22045037150382996
418,uterine cancer,0.22012805938720703
419,Congenital muscular dystrophy type 1A,0.2188756763935089
420,Rare genetic female infertility,0.2184930443763733
421,primary hypertension,0.217597097158432
422,glucose metabolism disease,0.217115581035614
423,hematologic disease,0.21638041734695435
424,Hot flashes,0.21606233716011047
425,kidney stone,0.21597397327423096
426,progeroid syndrome,0.21573406457901
427,B-cell non-Hodgkins lymphoma,0.21535831689834595
428,Abnormality of connective tissue,0.21495899558067322
429,neoplastic disease or syndrome,0.21369078755378723
430,Senior-Loken syndrome,0.2131536900997162
431,Congenital dyserythropoietic anemia,0.21278366446495056
432,Conotruncal heart malformations,0.2121470868587494
433,ovarian serous tumor,0.20965933799743652
434,Nail-patella-like renal disease,0.2092651128768921
435,malignant glioma,0.20850232243537903
436,non-melanoma skin carcinoma,0.2084345817565918
437,Fallopian Tube Carcinoma,0.207960844039917
438,Overgrowth syndrome,0.20721706748008728
439,Erythromelalgia,0.20690321922302246
440,hypogonadotropic hypogonadism,0.20480698347091675
441,anal fissure,0.20477896928787231
442,retinopathy of prematurity,0.20471951365470886
443,digestive system infectious disease,0.2044580578804016
444,Severe combined immunodeficiency due to CORO1A deficiency,0.2038922905921936
445,"46,XX gonadal dysgenesis",0.2028440535068512
446,intestinal cancer,0.2026079297065735
447,Severe combined immunodeficiency due to CARD11 deficiency,0.20211616158485413
448,Menorrhagia,0.2017430067062378
449,metastatic neoplasm,0.2016235888004303
450,Abnormal thrombosis,0.20107576251029968
451,Inherited giant platelet disorder,0.20077264308929443
452,microscopic polyangiitis,0.2002679407596588
453,Lethal multiple pterygium syndrome,0.1998487412929535
454,cerebral atherosclerosis,0.1996086835861206
455,Abnormality of the head,0.19960752129554749
456,autosomal genetic disease,0.19752785563468933
457,Hepatic steatosis,0.19682031869888306
458,brain disease,0.19679191708564758
459,Ventricular septal defect,0.1963416337966919
460,hereditary nephritis,0.19604969024658203
461,lymphadenitis (disease),0.19562670588493347
462,Familial hyperaldosteronism,0.19550761580467224
463,Proximal spinal muscular atrophy,0.1954742968082428
464,secondary neoplasm,0.19545528292655945
465,palsy,0.19475987553596497
466,Acrocephalosyndactyly,0.19440627098083496
467,Hypoalphalipoproteinemia,0.19415611028671265
468,Congenital bilateral absence of vas deferens,0.19377371668815613
469,Miyoshi myopathy,0.19334134459495544
470,Paroxysmal extreme pain disorder,0.19294404983520508
471,Autosomal recessive limb-girdle muscular dystrophy type 2E,0.19283241033554077
472,nervous system neoplasm,0.1924397349357605
473,Glycogen storage disease due to GLUT2 deficiency,0.19222921133041382
474,Lafora disease,0.19195550680160522
475,congenital heart malformation,0.19164887070655823
476,Lynch syndrome,0.19118046760559082
477,Familial hemophagocytic lymphohistiocytosis,0.19092944264411926
478,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E,0.1907295286655426
479,Beemer-Ertbruggen syndrome,0.18980896472930908
480,hyperaldosteronism,0.18973872065544128
481,Congenital myasthenic syndromes,0.18949437141418457
482,Autosomal recessive limb-girdle muscular dystrophy type 2D,0.18890032172203064
483,Hereditary thrombocytopenia with normal platelets,0.18845775723457336
484,Reducing body myopathy,0.18837639689445496
485,ICF syndrome,0.18833374977111816
486,Disorder of bilirubin metabolism and excretion,0.18745437264442444
487,serum creatinine measurement,0.18738213181495667
488,non-Hodgkins lymphoma,0.18727713823318481
489,Craniosynostosis,0.18726280331611633
490,X-linked reticulate pigmentary disorder with systemic manifestations,0.18711528182029724
491,Juvenile myoclonic epilepsy,0.18710917234420776
492,Ichthyosis - intellectual disability - dwarfism - renal impairment,0.18688800930976868
493,Autosomal dominant Emery-Dreifuss muscular dystrophy,0.1865161955356598
494,Generalized arterial calcification of infancy,0.18648415803909302
495,non-alcoholic steatohepatitis,0.1863526701927185
496,in situ carcinoma,0.18616151809692383
497,hemolytic-uremic syndrome,0.18595778942108154
498,RAS-associated autoimmune leukoproliferative disease,0.18556156754493713
499,gallbladder disease,0.1851617395877838
500,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,0.1848295032978058
501,X-linked agammaglobulinemia,0.18475258350372314
502,Familial isolated hypoparathyroidism,0.18447288870811462
503,adrenal cortex carcinoma,0.18425482511520386
504,Generalized epilepsy - paroxysmal dyskinesia,0.1842164695262909
505,Metabolic myopathy,0.18328267335891724
506,psoriasis vulgaris,0.18306711316108704
507,gram-negative bacterial infections,0.18301299214363098
508,neuritis,0.18279215693473816
509,Conjunctival tumor,0.1826140284538269
510,neuromuscular disease,0.18169724941253662
511,Spinal cord injury,0.18140003085136414
512,Combined immunodeficiency due to ZAP70 deficiency,0.18122616410255432
513,Autosomal recessive limb-girdle muscular dystrophy type 2G,0.18072006106376648
514,Familial isolated restrictive cardiomyopathy,0.17988750338554382
515,peritoneal neoplasm,0.17947694659233093
516,endometrium neoplasm,0.17876675724983215
517,Myoclonic-astastic epilepsy,0.17795723676681519
518,Spinal muscular atrophy with respiratory distress type 1,0.17791509628295898
519,uterine cervix neoplasm,0.1775101125240326
520,vascular occlusion disorder,0.17583191394805908
521,autoimmune thrombocytopenic purpura,0.1754331886768341
522,Cerebrotendinous xanthomatosis,0.17375347018241882
