Column1,Degree Centrality,Closeness Centrality,Betweeness Centrality,Pagerank Centrality
ENSG00000169432,668.4624461,0.371655155,0.00027533,0.078392018
ENSG00000103522,314.9031773,0.367369645,0,0.039253624
ENSG00000187735,207.9551714,0.350968739,6.82E-07,0.021353887
ENSG00000165646,206.8717573,0.369237025,0.001100601,0.028321434
ENSG00000213398,172.5688167,0.374722724,0.001112031,0.028631863
ENSG00000170962,143.7816294,0.36112354,0.022734868,0.019388552
ENSG00000122786,133.6433112,0.371503094,0.000825953,0.020472893
ENSG00000102580,97.05999763,0.349617365,2.27E-07,0.013094138
ENSG00000204977,78.43858238,0.347909383,0,0.00961572
ENSG00000117399,71.25107951,0.351138396,0.001100374,0.008217829
ENSG00000213139,64.75367234,0.343662771,0,0.008718205
ENSG00000025039,52.28954195,0.341594169,0.00082565,0.00524297
ENSG00000079459,49.00863021,0.358592092,0.04311163,0.007707886
ENSG00000141756,45.63681324,0.345263558,0.00275156,0.006045664
ENSG00000169727,35.68519156,0.342690003,1.36E-06,0.004115024
ENSG00000221859,30.07005342,0.339740891,0,0.002998681
ENSG00000175309,29.44025459,0.337907615,0,0.003130166
ENSG00000168734,28.13992104,0.342754683,0.002751636,0.003951924
ENSG00000278535,27.34125399,0.355677423,0.00055322,0.005579665
ENSG00000102096,25.94482457,0.344935657,0.000275141,0.003865081
ENSG00000184838,24.8436543,0.3351945,0,0.00263957
COVID,19.70016962,0.993571331,0.999392211,0.132180547
ENSG00000048649,16.94291568,0.345789499,0.000274496,0.002394153
measurement,13.53937818,0.500551268,0,0.001569307
genetic disorder,12.67029056,0.500275482,0,0.001470469
"genetic, familial or congenital disease",12.66985344,0.500275482,0,0.001467112
cell proliferation disorder,12.3578996,0.500413337,0,0.001330449
neoplastic disease or syndrome,12.35363731,0.500413337,0,0.001325549
neoplasm,12.22921858,0.500413337,0,0.001315097
cancer,11.65672664,0.500206583,0,0.001256069
respiratory or thoracic disease,10.82194085,0.500206583,0,0.001159808
thoracic disease,10.69738488,0.500206583,0,0.001145278
epithelial neoplasm,10.40331931,0.500068842,0,0.001091591
carcinoma,10.38939934,0.500068842,0,0.001102829
integumentary system disease,10.24347041,0.500206583,0,0.001095817
nervous system disease,10.14940554,0.500413337,0,0.001115137
central nervous system disease,8.745315961,0.5003444,0,0.000950981
endocrine system disease,8.6093594,0.500068842,0,0.000958921
brain disease,8.542079282,0.5003444,0,0.000921141
urinary system disease,8.428662437,0.500068842,0,0.000945905
musculoskeletal or connective tissue disease,8.390846816,0.5003444,0,0.00095674
reproductive system or breast disease,8.343676633,0.5,0,0.000865608
gastrointestinal disease,8.121598527,0.500137703,0,0.000895138
neoplasm of thorax,7.987128859,0.499862373,0,0.000824676
thoracic cancer,7.959202795,0.499793587,0,0.000819163
musculoskeletal system disease,7.880500755,0.5003444,0,0.000901388
immune system disease,7.578669825,0.500275482,0,0.000878713
respiratory system disease,7.464573601,0.499931177,0,0.000819242
connective tissue disease,7.460772424,0.5003444,0,0.000873281
skeletal system disease,7.265429884,0.5003444,0,0.000848174
skin disease,7.234938459,0.499931177,0,0.000800447
glandular cell neoplasm,7.207476957,0.499724821,0,0.000762064
adenocarcinoma,7.191075642,0.499656074,0,0.000752391
breast carcinoma,7.118993329,0.499656074,0,0.000791085
hematologic disease,7.117654956,0.5,0,0.000828478
breast disease,7.055550965,0.499793587,0,0.000731714
breast neoplasm,7.035032246,0.499793587,0,0.000732276
breast cancer,7.030254962,0.499724821,0,0.000721565
ENSG00000180008,6.8957149,0.336810868,0,0.000957083
metabolic disease,6.816100406,0.499862373,0,0.000837166
nutritional or metabolic disease,6.814785915,0.499862373,0,0.000829671
phenotype,6.794407148,0.500206583,0,0.000832565
hereditary connective tissue disorder,6.744679739,0.499931177,0,0.000794267
bone disease,6.667231655,0.5003444,1.52E-08,0.000788916
Phenotypic abnormality,6.662040675,0.500137703,0,0.000814243
lower respiratory tract disease,6.58296684,0.499862373,0,0.000698175
ENSG00000197601,6.561620149,0.340952828,0.00027461,0.001216189
endocrine neoplasm,6.512093602,0.499862373,0,0.000710539
lung disease,6.461525751,0.499862373,0,0.000683488
kidney disease,6.447658479,0.499862373,0,0.000742184
anthropometric measurement,6.2641937,0.500206583,0,0.000763222
Rare genetic developmental defect during embryogenesis,6.107967149,0.499793587,0,0.000713159
Rare genetic neurological disorder,6.075191874,0.499931177,0,0.000712802
disease of genitourinary system,6.067286644,0.499793587,0,0.000653991
body weights and measures,5.972894778,0.500206583,0,0.000714707
reproductive system disease,5.888629282,0.499793587,0,0.000632388
hematological measurement,5.858423133,0.5003444,0,0.000708582
Inborn errors of metabolism,5.848692291,0.499656074,0,0.000714108
respiratory system neoplasm,5.843015011,0.499518636,0,0.000607291
respiratory tract neoplasm,5.768904849,0.499518636,0,0.000591351
respiratory system cancer,5.758510938,0.499449945,0,0.000597708
lung neoplasm,5.756566486,0.499518636,0,0.000594668
lung cancer,5.744507103,0.499449945,0,0.000593693
lung carcinoma,5.681707878,0.499381273,0,0.000587621
eye disease,5.578748612,0.499862373,0,0.000685725
disease of visual system,5.575207962,0.499862373,0,0.000665
psychiatric disorder,5.522413215,0.500275482,0.000549599,0.000627122
mental or behavioural disorder,5.514186419,0.500275482,0,0.000633718
Rare genetic eye disease,5.513875998,0.499793587,0,0.000664439
